ALT,BUY,LIMIT,IOC,180077,0.0998553,0.0980649,FILLED,1255,180077,1723973063182,17981.6428581
BLUR,BUY,LIMIT,IOC,2641,0.1779027,0.1753000,FILLED,403,2641,1723973103306,469.8410307
SYN,BUY,LIMIT,IOC,23,0.7656445,0.7529000,FILLED,23,23,1723973106092,17.609823499999997
SYN,BUY,LIMIT,IOC,2665,0.7681919,0.7574425,FILLED,1134,2665,1723973124056,2047.2314135000001
RARE,BUY,LIMIT,IOC,235,0.2971515,0.2929000,FILLED,235,235,1723973131123,69.8306025
RARE,BUY,LIMIT,IOC,1670,0.2972595,0.2925000,FILLED,841,1670,1723973132328,496.423365
RARE,BUY,LIMIT,IOC,79,0.2975428,0.2928000,FILLED,79,79,1723973135142,23.5058812
RARE,BUY,LIMIT,IOC,2748,0.2980558,0.2930000,FILLED,548,2748,1723973138055,819.0573383999999
SYN,BUY,LIMIT,IOC,2894,0.7719126,0.7611915,FILLED,193,2894,1723973153473,2233.9150643999997
SYN,BUY,LIMIT,IOC,44,0.7726790,0.7568000,FILLED,30,44,1723973155488,33.997876
WIF,SELL,LIMIT,IOC,111.2,1.3910171,1.4126000,FILLED,107.2,111.2,1723973155508,154.68110152
RARE,BUY,LIMIT,IOC,100,0.2985192,0.2934000,FILLED,100,100,1723973155508,29.85192
TON,SELL,LIMIT,IOC,14.4,6.4594331,6.5599000,FILLED,14.4,14.4,1723973155508,93.01583664
XRP,SELL,LIMIT,IOC,170.9,0.5635,0.5663,FILLED,170.9,170.9,1723973155508,96.30215
BANANA,BUY,LIMIT,IOC,1.7,57.2067155,56.3421764,FILLED,0.1,1.7,1723973155508,97.25141635
TNSR,SELL,LIMIT,IOC,124.6,0.3673208,0.3722000,FILLED,124.6,124.6,1723973156303,45.76817168
RARE,BUY,LIMIT,IOC,5674,0.2989525,0.2936583,FILLED,3308,5674,1723973157156,1696.256485
RARE,BUY,LIMIT,IOC,382,0.2993162,0.2938000,FILLED,382,382,1723973158294,114.33878839999998
RARE,BUY,LIMIT,IOC,2,0.2992270,0.2937000,FILLED,2,2,1723973161354,0.598454
LISTA,BUY,LIMIT,IOC,1,0.4371560,0.4306000,FILLED,1,1,1723973161354,0.437156
SYN,BUY,LIMIT,IOC,1,0.7734300,0.7615000,FILLED,1,1,1723973161354,0.77343
LDO,BUY,LIMIT,IOC,1,1.096439,1.090200,FILLED,1,1,1723973161354,1.096439
AUCTION,BUY,LIMIT,IOC,0.02,17.358800,17.092000,FILLED,0.02,0.02,1723973161354,0.347176
RSR,BUY,LIMIT,IOC,66,0.004723,0.004630,FILLED,66,66,1723973161354,0.311718
